"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Ed Davis","2011","PF","TOR","$1,660,496","$0","$2,063,040","0.036","$1,660,496","$2,335,775","4","$9,343,100","$3,579,656","2014","2010","20",""
"","Anthony Tolliver","2011","PF","MIN","$1,650,000","$0","$2,050,000","0.035","$1,650,000","$2,125,000","2","$4,250,000","$4,698,213","2012","2010","24",""
"","Darrell Arthur","2011","PF","MEM","$1,631,583","$0","$2,027,118","0.035","$1,631,583","$1,294,610","4","$5,178,438","$4,782,903","2012","2008","19",""
"","Patrick Patterson","2011","PF","HOU","$1,577,529","$0","$1,959,960","0.034","$1,577,529","$2,246,325","4","$8,985,301","$3,400,809","2014","2010","20",""
"","Austin Daye","2011","PF","DET","$1,553,286","$0","$1,929,840","0.033","$1,553,286","$2,092,369","4","$8,369,477","$5,034,846","2013","2009","20",""
"","Matt Barnes","2011","SF","LAL","$1,529,268","$0","$1,900,000","0.033","$1,529,268","$1,832,500","2","$3,665,000","$11,311,454","2012","2010","29",""
"","Larry Sanders","2011","C","MIL","$1,498,619","$0","$1,861,920","0.032","$1,498,619","$2,159,752","4","$8,639,008","$3,230,579","0","2010","21",""
"","Omer Asik","2011","C","CHI","$1,495,061","$0","$1,857,500","0.032","$1,495,061","$1,789,250","2","$3,578,500","$3,216,061","2012","2010","23",""
"","James Johnson","2011","PF","TOR","$1,475,438","$0","$1,833,120","0.032","$1,475,438","$1,988,202","4","$7,952,806","$4,783,118","2013","2009","21",""
"","Luke Babbitt","2011","SF","POR","$1,423,668","$0","$1,768,800","0.030","$1,423,668","$1,768,840","3","$5,306,520","$3,069,108","2013","2010","20",""
"","Jrue Holiday","2011","PG","PHI","$1,401,647","$0","$1,741,440","0.030","$1,401,647","$1,889,465","4","$7,557,861","$4,543,217","0","2009","18",""
"","Kevin Seraphin","2011","PF","WAS","$1,352,485","$0","$1,680,360","0.029","$1,352,485","$1,950,549","4","$7,802,194","$2,915,605","2014","2010","20",""
"","Ty Lawson","2011","PG","DEN","$1,331,622","$0","$1,654,440","0.029","$1,331,622","$1,798,552","4","$7,194,208","$4,316,862","0","2009","21",""
"","Eric Bledsoe","2011","PG","LAC","$1,284,875","$0","$1,596,360","0.028","$1,284,875","$1,853,889","4","$7,415,554","$2,769,875","2014","2010","20",""
"","Jeff Teague","2011","PG","ATL","$1,271,643","$0","$1,579,920","0.027","$1,271,643","$1,715,929","4","$6,863,717","$4,122,363","2013","2009","20",""
"","Avery Bradley","2011","SG","BOS","$1,227,020","$0","$1,524,480","0.026","$1,227,020","$1,771,218","4","$7,084,872","$2,645,180","2014","2010","19",""
"","Eric Maynor","2011","PG","OKC","$1,220,742","$0","$1,516,680","0.026","$1,220,742","$1,648,030","4","$6,592,121","$3,957,462","2013","2009","21",""
"","James Anderson","2011","SG","SAS","$1,177,955","$0","$1,463,520","0.025","$1,177,955","$1,412,460","2","$2,824,920","$2,539,355","2012","2010","20",""
"","Darren Collison","2011","PG","IND","$1,171,870","$0","$1,455,960","0.025","$1,171,870","$1,600,616","4","$6,402,464","$3,799,030","2013","2009","21",""
"","Elliot Williams","2011","SG","POR","$1,085,620","$0","$1,348,800","0.023","$1,085,620","$1,348,800","3","$4,046,400","$2,340,340","2013","2010","20",""
"","Omri Casspi","2011","SF","SAC","$1,080,114","$0","$1,341,960","0.023","$1,080,114","$1,510,187","4","$6,040,746","$3,501,594","2013","2009","20",""
"","Trevor Booker","2011","PF","WAS","$1,042,253","$0","$1,294,920","0.022","$1,042,253","$1,567,895","4","$6,271,580","$2,282,813","2014","2010","22",""
"","Serge Ibaka","2011","PF","OKC","$1,036,844","$0","$1,288,200","0.022","$1,036,844","$1,466,415","4","$5,865,661","$3,361,244","0","2009","19",""
"","Rodrigue Beaubois","2011","PG","DAL","$995,409","$0","$1,236,720","0.021","$0","$1,423,893","4","$5,695,572","$0","2013","2009","20",""
"","Brian Cook","2011","PF","DEN","$984,499","$0","$1,223,166","0.021","$984,499","$1,250,000","2","$2,500,000","$2,130,836","2012","2010","29",""
"","Royal Ivey","2011","PG","OKC","$965,854","$0","$1,200,000","0.021","$965,854","$1,200,000","2","$2,400,000","$965,854","2012","2010","28",""
"","Dominique Jones","2011","SG","DAL","$960,445","$0","$1,193,280","0.021","$960,445","$1,193,320","3","$3,579,960","$2,070,565","2013","2010","21",""
"","Quincy Pondexter","2011","SG","MEM","$928,668","$0","$1,153,800","0.020","$928,668","$1,421,720","4","$5,686,878","$2,001,948","0","2010","21",""
"","Toney Douglas","2011","SG","NYK","$922,100","$0","$1,145,640","0.020","$922,100","$1,320,190","4","$5,280,760","$2,989,340","2013","2009","22",""
"","Jordan Crawford","2011","SG","WAS","$901,818","$0","$1,120,440","0.019","$901,818","$1,380,965","4","$5,523,858","$1,944,138","2014","2010","21",""
"","Christian Eyenga","2011","PG","CLE","$883,370","$0","$1,097,520","0.019","$883,370","$1,059,240","2","$2,118,480","$1,904,330","2012","2010","20",""
"","Lazar Hayward","2011","PF","OKC","$883,370","$0","$1,097,520","0.019","$883,370","$1,097,520","3","$3,292,560","$1,904,330","2012","2010","23",""
"","Jon Brockman","2011","SF","MIL","$804,878","$0","$1,000,000","0.017","$804,878","$1,000,000","3","$3,000,000","$1,804,878","2012","2010","2,009",""
"","DeJaun Blair","2011","C","SAS","$793,610","$0","$986,000","0.017","$793,610","$853,897","4","$3,415,588","$2,169,198","2013","2009","19",""
"","Taj Gibson","2011","PF","CHI","$962,377","$0","$962,377","0.017","$962,377","$2,172,737","4","$8,690,948","$3,119,857","0","2009","23",""
"","Sam Young","2011","SF","MEM","$947,800","$0","$947,800","0.016","$0","$886,000","3","$2,658,000","$0","2012","2009","23",""
"","Wayne Ellington","2011","SG","MIN","$929,151","$0","$929,151","0.016","$929,151","$1,329,951","4","$5,319,802","$3,011,511","2013","2009","21",""
"","Ian Mahinmi","2011","C","DAL","$711,748","$0","$884,293","0.015","$711,748","$823,244","2","$1,646,488","$4,501,543","2012","2010","23",""
"","Chase Budinger","2011","SF","HOU","$711,748","$0","$884,293","0.015","$711,748","$819,353","4","$3,277,413","$2,219,748","2013","2009","20",""
"","A.J. Price","2011","PG","IND","$711,748","$0","$884,293","0.015","$711,748","$701,359","3","$2,104,076","$1,931,531","2012","2009","22",""
"","Jodie Meeks","2011","SG","PHI","$711,748","$0","$884,293","0.015","$711,748","$701,359","3","$2,104,076","$1,931,531","2012","2009","21",""
"","Daniel Orton","2011","C","ORL","$883,370","$0","$883,370","0.015","$883,370","$1,062,960","2","$2,125,920","$1,911,770","2012","2010","19",""
"","Alonzo Gee","2011","SF","CLE","$687,679","$0","$854,389","0.015","$687,679","$667,062","2","$1,334,124","$1,504,753","2012","2010","22",""
"","Solomon Alabi","2011","C","TOR","$668,049","$0","$830,000","0.014","$668,049","$800,000","2","$1,600,000","$668,049","2012","2010","21",""
"","Lance Stephenson","2011","SG","IND","$643,902","$0","$800,000","0.014","$643,902","$837,500","4","$3,350,000","$1,393,902","2014","2010","19",""
"","Devin Ebanks","2011","SF","LAL","$613,474","$0","$762,195","0.013","$613,474","$617,900","2","$1,235,799","$1,087,078","2012","2010","20",""
"","Dexter Pittman","2011","C","MIA","$613,474","$0","$762,195","0.013","$613,474","$696,729","3","$2,090,188","$1,087,078","2013","2010","21",""
"","Hassan Whiteside","2011","C","SAC","$762,195","$0","$762,195","0.013","$762,195","$746,316","2","$1,492,632","$1,492,632","2012","2010","20",""
"","Jeremy Evans","2011","SF","UTA","$613,474","$0","$762,195","0.013","$613,474","$617,900","2","$1,235,799","$1,087,078","2012","2010","22",""
"","Semih Erden","2011","C","CLE","$613,474","$0","$613,474","0.011","$0","$631,238","2","$1,262,476","$0","2012","2010","23",""
"","Luke Harangody","2011","PF","CLE","$613,474","$0","$613,474","0.011","$0","$613,238","2","$1,226,476","$0","2012","2010","21",""
"","Samardo Samuels","2011","C","CLE","$613,474","$0","$613,474","0.011","$0","$7,666,667","3","$23,000,000","$0","2012","2010","20",""
"","Jeremy Lin","2011","PG","NYK","$762,195","$0","$613,474","0.011","$762,195","$617,900","2","$1,235,799","$1,235,799","2012","2010","21",""
"","Landry Fields","2011","SF","NYK","$613,474","$0","$613,474","0.011","$613,474","$617,900","2","$1,235,799","$1,087,078","2012","2010","21",""
"","Gary Neal","2011","PG","SAS","$613,474","$0","$613,474","0.011","$613,474","$696,729","3","$2,090,188","$1,138,474","2013","2010","25",""
